Transaction_ID,Transaction_Date,Customer_ID,Product_Name,Quantity,Price,Payment_Method,Transaction_Status,Transaction_Year,Transaction_Month,Transaction_Day,Transaction_DayOfWeek,Transaction_Hour
T0001,2024-08-02,C2205,Headphones,5.0,420.21,paypal,unknown,2024,8,2,4,0
T0002,2020-02-10,C3156,Coffee ,469.0,445.3420252539559,creditcard,pending,2020,2,10,0,0
T0004,2020-08-17,C3009,Tab,7.0,868.6083413217348,paypal,pending,2020,8,17,0,0
T0006,2021-10-26,C4241,Smartphone,598.0,54.39805739923827,paypal,completed,2021,10,26,1,0
T0013,2020-03-18,C1692,Smartphone,564.0,54.39805739923827,cash,completed,2020,3,18,2,0
T0014,2020-06-19,C2992,Coffee Machine,696.0,905.5147299335418,creditcard,failed,2020,6,19,4,0
T0017,2020-07-07,C3776,Smartphone,236.0,94.55726526729006,creditcard,pending,2020,7,7,1,0
T0019,2024-02-19,C4871,Smartphone,8.0,54.39805739923827,paypal,pending,2024,2,19,0,0
T0024,2023-11-03,C828,Coffee Machine,487.0,54.39805739923827,cash,unknown,2023,11,3,4,0
T0025,2022-11-18,C4985,Tablet,114.0,276.93632041675164,paypal,unknown,2022,11,18,4,0
T0026,2020-01-01,C1096,Cof,654.0,54.39805739923827,paypal,completed,2020,1,1,2,0
T0030,2021-10-16,C3058,Headphones,5.0,54.39805739923827,paypal,failed,2021,10,16,5,0
T0031,2024-07-17,C3672,Tablet,5.0,787.9940762988269,creditcard,completed,2024,7,17,2,0
T0035,2022-07-25,C2579,Coffee Machine,485.0,970.28,creditcard,completed,2022,7,25,0,0
T0038,2020-06-18,C2208,Laptop,8.0,54.39805739923827,creditcard,failed,2020,6,18,3,0
T0041,2023-10-20,C1693,Laptop,865.0,54.39805739923827,creditcard,completed,2023,10,20,4,0
T0042,2021-08-04,C4796,Coffee Machine,8.0,54.39805739923827,creditcard,failed,2021,8,4,2,0
T0049,2020-06-18,C4480,Laptop,762.0,54.39805739923827,creditcard,completed,2020,6,18,3,0
T0052,2022-12-20,C4029,Headphones,839.0,756.3340765354607,paypal,pending,2022,12,20,1,0
T0053,2022-07-22,C1077,Laptop,559.0,154.18505403344284,creditcard,failed,2022,7,22,4,0
