week_num,country,model,prompt_category,conversation_count,avg_quality_score,drop_off_rate
14,Algeria,gpt-4,other,7,7.0600000000000005,42.86
14,Argentina,gpt-4,other,7,5.83,42.86
14,Armenia,gpt-4,other,2,3.57,50.0
14,Australia,gpt-3.5-turbo,creative writing,1,8.98,0.0
14,Australia,gpt-3.5-turbo,other,11,6.354545454545455,72.73
14,Australia,gpt-4,coding and technical,1,8.77,0.0
14,Australia,gpt-4,other,9,3.7522222222222226,100.0
14,Austria,gpt-3.5-turbo,other,1,6.45,0.0
14,Austria,gpt-4,other,2,3.935,0.0
14,Bahamas,gpt-3.5-turbo,other,1,2.41,100.0
14,Bahrain,gpt-3.5-turbo,other,2,4.859999999999999,50.0
14,Belarus,gpt-3.5-turbo,other,3,4.47,33.33
14,Belgium,gpt-3.5-turbo,other,1,4.55,0.0
14,Belgium,gpt-4,other,5,4.13,0.0
14,Brazil,gpt-3.5-turbo,other,4,3.7225,25.0
14,Brazil,gpt-4,factual question answering,1,4.99,100.0
14,Brazil,gpt-4,other,9,4.662222222222223,55.56
14,Bulgaria,gpt-3.5-turbo,other,2,2.87,50.0
14,Bulgaria,gpt-4,other,2,1.83,100.0
14,Canada,gpt-3.5-turbo,coding and technical,1,5.03,0.0
14,Canada,gpt-3.5-turbo,other,11,2.9890909090909092,27.27
14,Canada,gpt-4,factual question answering,4,6.195,25.0
14,Canada,gpt-4,other,52,6.048269230769231,46.15
14,Chile,gpt-4,other,1,6.23,100.0
14,China,gpt-3.5-turbo,other,124,2.6995967741935485,33.06
14,China,gpt-4,factual question answering,1,4.22,0.0
14,China,gpt-4,other,110,2.555727272727273,61.82
14,Colombia,gpt-4,other,1,2.23,100.0
14,Cuba,gpt-4,other,1,3.25,0.0
14,Cyprus,gpt-4,other,1,5.6,100.0
14,Czechia,gpt-4,other,1,5.78,100.0
14,Denmark,gpt-3.5-turbo,other,4,4.1275,50.0
14,Egypt,gpt-3.5-turbo,other,7,4.361428571428571,14.29
14,Egypt,gpt-4,other,10,6.215999999999999,50.0
14,Estonia,gpt-3.5-turbo,other,5,4.486,20.0
14,Estonia,gpt-4,other,4,4.1899999999999995,25.0
14,Finland,gpt-3.5-turbo,other,1,5.18,0.0
14,Finland,gpt-4,other,3,3.186666666666667,100.0
14,France,gpt-3.5-turbo,creative writing,1,5.36,0.0
14,France,gpt-3.5-turbo,other,16,3.76125,56.25
14,France,gpt-4,coding and technical,1,2.21,100.0
14,France,gpt-4,other,47,4.694893617021276,59.57
14,French Guiana,gpt-4,other,1,5.29,0.0
14,Georgia,gpt-3.5-turbo,other,5,4.926,60.0
14,Germany,gpt-3.5-turbo,coding and technical,2,4.12,50.0
14,Germany,gpt-3.5-turbo,other,20,4.839,15.0
14,Germany,gpt-4,other,54,5.442222222222222,48.15
14,Ghana,gpt-3.5-turbo,factual question answering,1,9.33,0.0
14,Ghana,gpt-4,other,1,8.22,0.0
14,Greece,gpt-3.5-turbo,factual question answering,3,5.286666666666666,0.0
14,Greece,gpt-3.5-turbo,other,28,4.032142857142857,75.0
14,Guam,gpt-4,other,1,8.55,0.0
14,Hong Kong,gpt-3.5-turbo,other,26,2.9796153846153848,30.77
14,Hong Kong,gpt-4,creative writing,1,9.22,0.0
14,Hong Kong,gpt-4,other,21,2.75,47.62
14,Hungary,gpt-4,other,1,4.23,0.0
14,India,gpt-3.5-turbo,other,6,5.578333333333333,33.33
14,India,gpt-4,creative writing,2,8.3,50.0
14,India,gpt-4,factual question answering,2,7.835000000000001,50.0
14,India,gpt-4,other,53,6.667169811320755,52.83
14,Indonesia,gpt-3.5-turbo,other,3,4.62,33.33
14,Indonesia,gpt-4,other,18,5.254444444444444,50.0
14,Iran,gpt-3.5-turbo,factual question answering,1,2.11,100.0
14,Iran,gpt-3.5-turbo,other,2,4.914999999999999,50.0
14,Iran,gpt-4,other,2,6.1,50.0
14,Iraq,gpt-3.5-turbo,other,1,6.64,100.0
14,Iraq,gpt-4,other,1,7.24,100.0
14,Israel,gpt-4,other,18,7.728888888888889,61.11
14,Italy,gpt-3.5-turbo,other,11,4.725454545454546,9.09
14,Italy,gpt-4,other,13,5.263846153846154,38.46
14,Japan,gpt-3.5-turbo,creative writing,1,5.83,0.0
14,Japan,gpt-3.5-turbo,other,10,4.840999999999999,10.0
14,Japan,gpt-4,coding and technical,2,6.83,0.0
14,Japan,gpt-4,factual question answering,1,4.88,0.0
14,Japan,gpt-4,other,23,5.625217391304347,52.17
14,Kazakhstan,gpt-3.5-turbo,other,1,7.56,0.0
14,Kazakhstan,gpt-4,other,2,7.215,50.0
14,Kyrgyzstan,gpt-3.5-turbo,other,1,1.53,100.0
14,Luxembourg,gpt-4,other,1,3.36,0.0
14,Macao,gpt-3.5-turbo,other,1,3.23,0.0
14,Madagascar,gpt-4,other,7,6.764285714285714,71.43
14,Malaysia,gpt-3.5-turbo,factual question answering,1,5.41,0.0
14,Malaysia,gpt-3.5-turbo,other,7,3.718571428571429,28.57
14,Malaysia,gpt-4,other,4,4.8025,25.0
14,Malta,gpt-4,factual question answering,1,7.28,0.0
14,Malta,gpt-4,other,8,7.061249999999999,62.5
14,Mexico,gpt-3.5-turbo,other,9,6.4944444444444445,22.22
14,Mexico,gpt-4,other,5,5.616,20.0
14,Moldova,gpt-3.5-turbo,other,1,4.95,0.0
14,Morocco,gpt-3.5-turbo,other,2,1.365,100.0
14,Morocco,gpt-4,other,38,4.427105263157895,55.26
14,Myanmar,gpt-4,other,1,9.31,0.0
14,Nepal,gpt-4,other,4,7.49,50.0
14,New Zealand,gpt-4,coding and technical,1,6.87,100.0
14,New Zealand,gpt-4,creative writing,1,8.1,0.0
14,New Zealand,gpt-4,factual question answering,1,6.82,100.0
14,New Zealand,gpt-4,other,42,7.133333333333334,76.19
14,Nicaragua,gpt-4,other,1,7.47,0.0
14,Nigeria,gpt-3.5-turbo,other,2,7.545,50.0
14,Nigeria,gpt-4,other,20,7.3614999999999995,100.0
14,Norway,gpt-4,other,4,4.385,75.0
14,Pakistan,gpt-4,other,6,5.621666666666666,50.0
14,Peru,gpt-4,other,2,3.545,50.0
14,Philippines,gpt-3.5-turbo,other,15,5.441999999999999,20.0
14,Philippines,gpt-4,factual question answering,1,4.06,0.0
14,Philippines,gpt-4,other,23,6.208260869565217,60.87
14,Poland,gpt-3.5-turbo,other,3,2.956666666666667,0.0
14,Poland,gpt-4,other,4,4.7825,25.0
14,Portugal,gpt-4,other,3,5.016666666666667,33.33
14,Romania,gpt-3.5-turbo,other,4,4.3125,25.0
